target,10.0.0.10,10.0.0.100,10.0.0.101,10.0.0.102,10.0.0.103,10.0.0.104,10.0.0.106,10.0.0.107,10.0.0.108,10.0.0.11,10.0.0.110,10.0.0.111,10.0.0.112,10.0.0.113,10.0.0.12,10.0.0.13,10.0.0.14,10.0.0.16,10.0.0.17,10.0.0.18,10.0.0.19,10.0.0.20,10.0.0.21,10.0.0.22,10.0.0.23,10.0.0.24,10.0.0.25,10.0.0.26,10.0.0.27,10.0.0.28,10.0.0.29,10.0.0.30,10.0.0.31,10.0.0.35,10.0.0.36,10.0.0.37,10.0.0.38,10.0.0.39,10.0.0.4,10.0.0.40,10.0.0.41,10.0.0.42,10.0.0.43,10.0.0.44,10.0.0.45,10.0.0.46,10.0.0.47,10.0.0.48,10.0.0.49,10.0.0.50,10.0.0.51,10.0.0.52,10.0.0.53,10.0.0.55,10.0.0.56,10.0.0.57,10.0.0.58,10.0.0.59,10.0.0.6,10.0.0.61,10.0.0.62,10.0.0.63,10.0.0.64,10.0.0.65,10.0.0.66,10.0.0.67,10.0.0.68,10.0.0.69,10.0.0.7,10.0.0.70,10.0.0.71,10.0.0.72,10.0.0.73,10.0.0.74,10.0.0.75,10.0.0.77,10.0.0.78,10.0.0.79,10.0.0.8,10.0.0.80,10.0.0.81,10.0.0.82,10.0.0.83,10.0.0.84,10.0.0.85,10.0.0.86,10.0.0.87,10.0.0.88,10.0.0.89,10.0.0.9,10.0.0.90,10.0.0.91,10.0.0.92,10.0.0.93,10.0.0.94,10.0.0.95,10.0.0.96,10.0.0.97,10.0.0.98,10.0.0.99
10.0.0.10,-1,64.4140127388535,101.22765957446809,125.83227176220807,72.05095541401273,97.78343949044586,51.847133757961785,83.80891719745223,80.65531914893617,86.10828025477707,90.59447983014861,70.65817409766454,88.59023354564756,72.90870488322717,68.87234042553192,114.13588110403397,61.6411889596603,81.0,63.246808510638296,82.41914893617022,87.0552016985138,99.71549893842888,84.32696390658174,97.56900212314225,54.92356687898089,83.95957446808511,87.92781316348196,74.61276595744681,80.85774946921444,75.1592356687898,82.63694267515923,85.47346072186836,85.1592356687898,76.76645435244161,84.07430997876858,124.81740976645435,97.12738853503184,69.07855626326963,92.88322717622081,113.76220806794055,101.57961783439491,114.86808510638298,55.06595744680851,96.83227176220807,109.47133757961784,46.547770700636946,110.29087048832272,69.46496815286625,107.75583864118896,102.28297872340426,60.14437367303609,110.97027600849258,74.54989384288747,41.99787685774947,102.58936170212766,127.41063829787234,81.0828025477707,89.15957446808511,65.54042553191489,74.62208067940551,78.29936305732484,68.90233545647558,85.14225053078556,105.01063829787235,77.34182590233546,125.83829787234042,92.34893617021277,216.76220806794055,87.11489361702128,64.59023354564756,62.770212765957446,111.828025477707,58.06808510638298,77.32271762208067,77.3936170212766,80.64331210191082,72.02123142250531,84.46072186836518,149.6127659574468,96.53715498938429,118.87685774946921,107.34182590233546,101.29574468085106,45.51167728237792,76.40764331210191,65.32340425531915,79.42462845010616,59.33757961783439,73.87685774946921,105.895966029724,65.80254777070064,76.59235668789809,74.26114649681529,65.01698513800424,90.18471337579618,96.98297872340426,97.45010615711253,90.99150743099787,95.65106382978723,74.26751592356688
10.0.0.100,45.22621564482029,-1,34.684322033898304,45.04025423728814,19.913319238900634,57.11864406779661,12.864693446088795,55.219873150105705,19.12076271186441,23.636363636363637,25.377118644067796,18.482029598308667,32.29661016949152,30.16490486257928,19.915254237288135,46.15010570824524,20.953488372093023,28.446088794926006,22.289640591966172,24.503171247357294,24.427966101694917,37.82415254237288,30.326271186440678,62.51059322033898,17.377118644067796,33.30866807610994,26.904862579281183,31.16949152542373,27.558139534883722,20.756871035940804,24.649048625792812,27.067653276955603,28.923728813559322,42.22621564482029,17.723044397463003,33.72727272727273,40.91525423728814,22.143763213530654,38.754756871035944,50.28118393234672,49.4291754756871,56.559322033898304,20.87103594080338,42.31991525423729,36.23890063424947,15.641949152542374,40.040169133192386,20.654661016949152,36.641949152542374,34.396186440677965,16.095137420718817,36.36786469344609,25.328389830508474,12.465116279069768,28.83050847457627,40.30866807610994,37.87315010570825,32.69915254237288,19.653276955602536,20.610169491525422,39.84989429175476,25.290254237288135,26.74418604651163,34.07627118644068,28.290254237288135,54.21141649048626,19.291754756871036,24.334745762711865,32.09936575052854,19.249471458773783,18.346723044397464,29.790697674418606,15.625792811839323,29.473572938689216,39.22621564482029,26.78646934460888,34.79704016913319,30.19027484143763,26.01057082452431,21.627906976744185,84.53389830508475,37.093023255813954,43.66596194503171,14.801268498942918,35.76955602536998,22.27906976744186,26.198731501057082,40.110169491525426,16.067653276955603,33.28329809725159,18.37632135306554,83.8752642706131,23.610993657505286,20.792811839323466,47.758985200845665,26.173361522198732,33.118393234672304,61.31289640591966,72.0614406779661,28.10593220338983
10.0.0.101,68.35031847133757,43.98513800424629,-1,74.40764331210191,45.246284501061574,80.01061571125265,41.21656050955414,66.79617834394904,51.681528662420384,46.29299363057325,50.45859872611465,45.81104033970276,53.0552016985138,49.43099787685775,50.27813163481953,83.80254777070064,49.50955414012739,87.59660297239915,43.71974522292994,54.45010615711253,53.14225053078556,87.47872340425532,86.49256900212315,68.95753715498938,45.30785562632696,109.89384288747345,69.83014861995754,58.36518046709129,58.5859872611465,88.0552016985138,46.02547770700637,65.25265392781316,60.54989384288747,64.12314225053079,50.80467091295117,60.79830148619958,69.74946921443737,52.10403397027601,84.26326963906581,104.32059447983015,73.35668789808918,96.75583864118896,50.97452229299363,122.99575371549894,71.60721868365181,37.39915074309979,57.44161358811041,44.88747346072187,63.36942675159236,65.51380042462846,51.683651804670916,103.92569002123142,60.0,44.20169851380042,68.32553191489362,132.380042462845,63.859872611464965,63.4140127388535,57.61995753715499,59.62845010615711,64.07643312101911,74.11889596602973,60.71337579617835,88.2547770700637,60.51380042462845,91.37367303609342,48.47983014861996,56.617834394904456,59.81316348195329,45.8067940552017,51.72611464968153,170.68789808917197,48.469214437367306,30.853503184713375,52.71549893842887,82.88535031847134,59.58386411889597,80.57112526539278,54.774468085106385,45.92993630573248,84.99363057324841,62.51592356687898,79.09554140127389,41.067940552016985,64.66666666666667,51.59235668789809,49.29723991507431,63.819532908704886,48.588110403397025,64.45859872611464,52.06581740976645,60.847133757961785,58.95753715498938,61.44373673036093,80.38216560509554,68.67515923566879,58.210191082802545,135.02972399150744,70.26326963906581,58.411889596602975
10.0.0.102,132.4449152542373,66.29872881355932,108.23354564755839,-1,90.5,135.89808917197453,54.05944798301486,147.42796610169492,79.7728237791932,80.81991525423729,75.91313559322033,68.02972399150742,81.4364406779661,82.03813559322033,77.27542372881356,109.85169491525424,69.07838983050847,100.6885593220339,78.83864118895966,87.73305084745763,90.88135593220339,116.875,94.29237288135593,125.8556263269639,64.09110169491525,110.14406779661017,88.10805084745763,94.62845010615712,97.99364406779661,83.75,69.33686440677967,103.19491525423729,88.45550847457628,83.35169491525424,54.57415254237288,78.39406779661017,112.88983050847457,91.03177966101696,111.31991525423729,137.38216560509554,129.75635593220338,136.61016949152543,74.55932203389831,114.57838983050847,116.76271186440678,67.83262711864407,107.01486199575372,75.02966101694915,89.98089171974522,102.54237288135593,75.05932203389831,85.27388535031847,72.90042372881356,42.92993630573248,107.94692144373673,118.45222929936305,113.41313559322033,82.03813559322033,72.07838983050847,83.64194915254237,116.0635593220339,87.11228813559322,88.20550847457628,113.31567796610169,98.49788135593221,129.10805084745763,70.86228813559322,92.02547770700637,96.00211864406779,65.04246284501062,62.527542372881356,98.26271186440678,51.311440677966104,84.21822033898304,122.49152542372882,88.92372881355932,106.4322033898305,114.1656050955414,82.25690021231422,82.6822033898305,218.01906779661016,104.24416135881104,115.3072033898305,50.5021186440678,77.79405520169851,73.24628450106157,83.82415254237289,91.59745762711864,73.45127118644068,116.11864406779661,82.54237288135593,171.6927966101695,86.46610169491525,75.65254237288136,121.7542372881356,86.41101694915254,114.08474576271186,115.65042372881356,218.98089171974522,87.0
10.0.0.103,78.84288747346072,42.85138004246284,82.1380042462845,92.39830508474576,-1,94.04033970276008,45.896186440677965,75.78343949044586,57.78813559322034,82.6292372881356,57.932203389830505,63.07627118644068,51.14225053078556,68.67796610169492,61.730932203389834,112.03813559322033,61.625,103.26751592356688,53.53503184713376,70.8135593220339,59.65180467091295,105.49788135593221,111.77494692144374,87.29025423728814,49.180467091295114,132.82165605095543,70.70550847457628,74.93842887473461,67.12951167728238,101.08686440677967,61.388535031847134,70.44703389830508,74.19067796610169,70.85593220338983,50.35244161358811,67.18471337579618,78.59023354564756,55.55508474576271,92.60169491525424,112.37367303609342,104.94904458598727,138.74946921443737,46.896186440677965,157.375,87.52118644067797,44.73673036093418,82.8707627118644,59.37923728813559,84.7515923566879,83.80679405520169,60.08262711864407,154.19915254237287,69.96602972399151,50.532908704883226,79.98938428874735,171.15889830508473,71.95329087048832,65.47881355932203,62.432203389830505,60.779661016949156,78.84322033898304,63.57749469214438,70.53813559322033,106.73673036093419,101.72881355932203,116.13375796178345,64.73728813559322,76.11677282377919,72.95974576271186,46.67584745762712,58.11677282377919,221.79025423728814,36.63057324840764,81.65466101694915,62.91507430997877,87.02335456475583,66.59533898305085,92.04670912951168,71.65889830508475,69.895966029724,115.8072033898305,86.90254237288136,103.75847457627118,61.05944798301486,76.18259023354565,54.235169491525426,60.252653927813164,85.87261146496816,62.09129511677283,82.1292372881356,60.610169491525426,82.48940677966101,70.36440677966101,58.521186440677965,87.67728237791933,66.66313559322033,80.63057324840764,168.34745762711864,95.54449152542372,74.53389830508475
10.0.0.104,83.8343949044586,65.85593220338983,136.91525423728814,125.83898305084746,69.8177966101695,-1,56.230932203389834,106.03609341825903,78.33262711864407,81.15711252653928,104.04025423728814,109.41101694915254,95.90889830508475,92.25211864406779,78.7452229299363,127.73248407643312,80.61016949152543,108.32415254237289,69.09110169491525,94.75,85.5859872611465,115.65254237288136,106.4267515923567,80.84110169491525,73.73305084745763,98.07643312101911,91.80891719745223,117.51804670912951,117.27966101694915,85.21398305084746,75.86864406779661,73.78768577494692,95.04661016949153,136.94915254237287,76.13983050847457,96.96398305084746,107.21231422505308,81.35381355932203,134.10381355932202,138.2584745762712,108.39830508474576,124.8135593220339,67.85169491525424,133.3114406779661,97.8004246284501,67.79237288135593,98.92584745762711,79.48940677966101,90.72457627118644,107.00849256900213,62.04237288135593,105.95127118644068,79.99363057324841,52.93008474576271,106.65466101694915,125.39065817409767,85.78389830508475,102.45338983050847,115.70276008492569,66.32203389830508,110.15042372881356,140.14225053078556,82.20338983050847,267.27330508474574,130.20127118644066,160.828025477707,88.2542372881356,104.19108280254777,85.83474576271186,70.95974576271186,75.07627118644068,102.40339702760085,63.777542372881356,105.7457627118644,88.97452229299363,102.84322033898304,85.32415254237289,104.5614406779661,100.28389830508475,77.38559322033899,133.489406779661,82.00212314225053,118.92161016949153,83.23142250530786,93.76433121019109,86.21610169491525,106.67796610169492,78.18432203389831,89.49044585987261,107.38983050847457,81.32838983050847,96.70127118644068,100.2457627118644,71.70338983050847,116.67372881355932,100.10191082802548,94.89830508474576,101.99788135593221,90.11864406779661,93.74788135593221
10.0.0.106,29.849894291754758,14.317124735729386,55.05496828752643,40.77801268498943,21.510593220338983,41.92389006342495,-1,36.08050847457627,25.934322033898304,27.41860465116279,42.62367864693446,39.904862579281186,33.887949260042284,26.232558139534884,22.483050847457626,42.79281183932347,25.443974630021142,21.236786469344608,22.62076271186441,27.822033898305083,21.970401691331922,38.473572938689216,31.896405919661735,27.57928118393235,15.13107822410148,39.51374207188161,28.20507399577167,47.241014799154335,58.43974630021142,21.970401691331922,22.824524312896404,26.61864406779661,25.89429175475687,67.14618644067797,16.427061310782243,34.190274841437635,33.061310782241016,23.49364406779661,47.72727272727273,54.66596194503171,43.38689217758985,52.55602536997886,17.127118644067796,45.65042372881356,36.86680761099366,17.54968287526427,30.097251585623678,22.913319238900634,29.127118644067796,36.226694915254235,16.735729386892178,32.86892177589852,30.699788583509513,14.249471458773785,28.41014799154334,42.62367864693446,30.008474576271187,30.505285412262158,25.6046511627907,24.22832980972516,39.42706131078224,51.91966173361522,30.13953488372093,112.75264270613108,52.771186440677965,78.22198731501057,21.928118393234673,41.321353065539114,34.04449152542373,14.976744186046512,16.73784355179704,32.76744186046512,15.367864693446089,30.312896405919663,22.587737843551796,29.23044397463002,22.961945031712474,27.95983086680761,24.078224101479915,24.773784355179703,75.11839323467231,45.81818181818182,44.19491525423729,22.87526427061311,31.507399577167018,19.126849894291755,60.00211416490486,20.135306553911207,17.697674418604652,38.600422832980975,17.818181818181817,30.659619450317123,26.067653276955603,21.08686440677966,44.66384778012685,28.987315010570825,29.928118393234673,36.72727272727273,31.103594080338265,30.35940803382664
10.0.0.107,82.03813559322033,56.62076271186441,79.22881355932203,101.0,59.21822033898305,91.57627118644068,53.11440677966102,-1,77.84957627118644,81.69703389830508,73.50955414012739,67.85805084745763,87.22881355932203,90.58811040339702,94.77754237288136,109.53813559322033,66.62420382165605,94.55508474576271,60.554140127388536,91.71822033898304,72.77966101694915,96.76645435244161,78.02972399150742,89.42372881355932,58.524416135881104,87.28601694915254,103.5572033898305,79.0572033898305,81.30508474576271,92.28662420382166,58.976694915254235,73.77070063694268,85.41825902335457,75.85169491525424,57.31991525423729,89.17409766454352,78.7452229299363,71.01910828025478,92.08898305084746,120.92796610169492,132.635593220339,127.92161016949153,66.30296610169492,87.76694915254237,108.88135593220339,57.131634819532906,103.80508474576271,79.64618644067797,85.63771186440678,105.6885593220339,66.45338983050847,89.82838983050847,95.1995753715499,62.29661016949152,105.14618644067797,103.11864406779661,75.78177966101696,90.34819532908705,77.1207627118644,60.36228813559322,79.1292372881356,86.45762711864407,95.34819532908705,145.35169491525423,134.00423728813558,118.80084745762711,60.19957537154989,70.94915254237289,76.81740976645435,59.80296610169491,81.96186440677967,120.35593220338983,54.47983014861996,100.34819532908705,76.41737288135593,77.45647558386412,73.53813559322033,83.20762711864407,96.31634819532908,67.17622080679405,117.71186440677967,79.78177966101696,101.34745762711864,80.01694915254237,110.97457627118644,60.681528662420384,71.47770700636943,63.23940677966102,78.70550847457628,85.42887473460722,71.07643312101911,81.12288135593221,69.2823779193206,79.30785562632697,83.73460721868365,83.92372881355932,86.38216560509554,83.38216560509554,89.00635593220339,82.7457627118644
10.0.0.108,30.6864406779661,19.569915254237287,41.01271186440678,37.92796610169491,22.972457627118644,58.436440677966104,21.095541401273884,45.682203389830505,-1,22.9385593220339,31.698513800424628,32.37367303609342,25.743099787685775,28.1104033970276,21.94904458598726,63.72611464968153,28.91737288135593,32.93418259023355,27.38216560509554,33.54872881355932,29.012738853503183,40.78177966101695,53.144067796610166,34.16135881104034,18.45550847457627,51.56475583864119,42.560509554140125,30.18895966029724,31.440677966101696,39.813559322033896,25.006369426751593,29.98093220338983,36.57749469214438,42.688559322033896,24.178343949044585,49.740976645435246,87.20550847457628,33.983014861995755,41.75796178343949,62.03389830508475,46.2484076433121,59.65605095541401,27.286624203821656,43.76645435244161,36.3771186440678,18.930084745762713,40.36518046709129,35.04025423728814,38.51167728237792,37.80042462845011,25.26906779661017,53.57203389830509,29.991507430997878,22.819915254237287,35.389830508474574,46.089171974522294,39.66242038216561,44.45974576271186,25.084925690021233,26.16135881104034,45.29025423728814,31.819532908704883,33.2208067940552,39.41949152542373,29.6963906581741,53.20594479830149,37.683651804670916,44.76433121019108,32.552016985138,25.89171974522293,19.411889596602972,36.723991507430995,12.314225053078557,43.010615711252655,42.617834394904456,36.65677966101695,26.532908704883226,28.296610169491526,30.087048832271762,19.434322033898304,94.93630573248407,34.39915074309979,58.13135593220339,21.174097664543524,29.683651804670912,27.927813163481954,38.55838641188959,25.305732484076433,30.53927813163482,39.50955414012739,21.373673036093418,37.54989384288747,31.781779661016948,19.978813559322035,45.152542372881356,29.148619957537154,42.978813559322035,33.910828025477706,32.49152542372882,32.79237288135593
10.0.0.11,25.733050847457626,11.14406779661017,26.46072186836518,32.858050847457626,29.808917197452228,30.936305732484076,19.902542372881356,34.32415254237288,17.45762711864407,-1,18.59235668789809,16.529661016949152,25.247881355932204,18.758474576271187,18.747346072186836,33.93418259023355,20.94279661016949,27.392781316348195,16.25053078556263,21.71186440677966,17.277542372881356,30.51271186440678,20.713983050847457,26.779661016949152,13.828025477707007,24.654661016949152,20.83864118895966,25.559322033898304,17.360934182590235,23.59447983014862,21.636942675159236,37.97664543524416,25.680084745762713,22.53813559322034,21.57112526539278,23.59235668789809,24.70762711864407,28.66737288135593,29.501061571125266,38.53813559322034,33.38559322033898,37.71974522292994,18.031779661016948,23.32059447983015,29.569915254237287,13.692796610169491,19.81316348195329,19.97027600849257,22.422505307855626,31.997881355932204,19.462845010615712,25.341101694915253,20.802547770700638,14.456475583864119,25.76906779661017,46.75,19.233545647558387,25.47669491525424,22.141949152542374,18.345338983050848,27.87076271186441,18.694267515923567,25.040254237288135,27.71125265392781,28.18683651804671,45.05296610169491,21.01906779661017,18.208067940552016,21.110169491525422,18.9364406779661,26.177966101694917,21.14012738853503,14.834394904458598,22.23991507430998,18.583864118895967,25.968220338983052,23.341101694915253,24.441613588110403,28.501061571125266,18.692144373673035,36.21610169491525,31.467091295116774,40.32271762208068,15.629237288135593,25.598726114649683,16.027542372881356,17.510593220338983,17.069915254237287,17.34607218683652,26.22457627118644,20.29723991507431,10.454352441613588,18.665254237288135,16.459745762711865,27.256900212314225,25.819532908704883,22.526539278131636,24.81316348195329,27.22669491525424,19.496815286624205
